 written on 13May2022 at 01:23:14 
   1.43499629539393        1.43499629539393        1.43499629539393     
  -1.43499629539393        1.43499629539393        1.43499629539393     
  -1.43499629539393       -1.43499629539393        1.43499629539393     
          18
          27
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1

   -2    1   -1
    1    1    0.18862052E-02  0.32456582E-09
    2    1    0.29178337E-03 -0.58016959E-08
    3    1   -0.67198939E-01  0.24210220E-09
    4    1    0.34866836E-03  0.43315619E-08
    5    1   -0.64370586E-01 -0.23457829E-03
    6    1    0.20637835E-03  0.72309876E-03
    7    1   -0.64370563E-01  0.23457809E-03
    8    1    0.20636253E-03 -0.72309657E-03
    9    1    0.72621981E-02  0.10277967E-09
   10    1    0.68239544E-03  0.14680303E-08
   11    1   -0.60677617E-01  0.14296471E-09
   12    1    0.21116152E-03 -0.28483681E-08
   13    1    0.27586032E-01  0.31689147E-09
   14    1    0.18887961E-03 -0.32732989E-08
   15    1   -0.14921088E-08  0.62394239E-03
   16    1   -0.20661120E-08 -0.21739497E-03
   17    1   -0.66616952E-08  0.96732361E-03
   18    1   -0.63875034E-09  0.37166336E-03
    1    2   -0.14688222E-03  0.49861894E-08
    2    2    0.99214971E-02 -0.80794371E-10
    3    2    0.34866234E-03 -0.30629270E-08
    4    2   -0.64276580E-01  0.80924989E-09
    5    2   -0.29693069E-03  0.33983505E-03
    6    2   -0.46585279E-01  0.21980926E-03
    7    2   -0.29693012E-03 -0.33983690E-03
    8    2   -0.46585257E-01 -0.21980957E-03
    9    2   -0.38572186E-03  0.47197352E-08
   10    2    0.28069624E-01  0.15736519E-08
   11    2   -0.20218287E-03 -0.43320469E-09
   12    2   -0.75928454E-01 -0.10576313E-08
   13    2   -0.99470733E-03  0.61148923E-08
   14    2    0.34246702E-01  0.40668547E-09
   15    2    0.45049670E-08 -0.22977099E-04
   16    2   -0.60527243E-09 -0.54701668E-03
   17    2    0.28784266E-08  0.25459386E-03
   18    2   -0.77009326E-08 -0.81176190E-03
    1    3   -0.12188469E+00 -0.37910367E-09
    2    3   -0.20761724E-03  0.32422271E-08
    3    3    0.18862043E-02  0.29329983E-10
    4    3   -0.14688399E-03 -0.19995276E-08
    5    3   -0.78294802E-01 -0.15979146E-03
    6    3   -0.41772003E-03  0.64043613E-04
    7    3   -0.78294845E-01  0.15979178E-03
    8    3   -0.41771582E-03 -0.64041939E-04
    9    3   -0.16107379E+00 -0.10981877E-09
   10    3    0.12304335E-03 -0.32253878E-08
   11    3    0.72516654E-02 -0.85724573E-10
   12    3    0.38434040E-03  0.51259711E-08
   13    3   -0.34598850E-01 -0.27022496E-09
   14    3   -0.14936449E-03  0.18256445E-08
   15    3    0.64285830E-08  0.95460209E-03
   16    3    0.94893901E-09 -0.14445098E-02
   17    3    0.86204836E-08  0.53225635E-03
   18    3   -0.47911174E-09 -0.83310201E-03
    1    4   -0.20761494E-03 -0.39553029E-08
    2    4   -0.15992756E+00  0.78954898E-10
    3    4    0.29178450E-03  0.16988256E-08
    4    4    0.99214968E-02 -0.15413582E-09
    5    4    0.50030254E-03  0.21417525E-03
    6    4   -0.68856143E-01  0.20737149E-03
    7    4    0.50030318E-03 -0.21417587E-03
    8    4   -0.68856183E-01 -0.20737051E-03
    9    4   -0.10325230E-03 -0.35523704E-08
   10    4   -0.21543687E+00 -0.10590619E-08
   11    4   -0.68727466E-03 -0.26997092E-08
   12    4    0.28064526E-01  0.12595310E-08
   13    4    0.18236592E-02 -0.62959530E-08
   14    4   -0.59566909E-01 -0.23602871E-09
   15    4   -0.35034762E-08 -0.13881188E-02
   16    4    0.42366878E-08 -0.56460787E-03
   17    4   -0.22163278E-08 -0.10963058E-02
   18    4    0.72234770E-08 -0.38237512E-03
    1    5   -0.78294845E-01 -0.15979194E-03
    2    5    0.50029399E-03  0.21417140E-03
    3    5   -0.64370563E-01 -0.23457768E-03
    4    5   -0.29692315E-03  0.33983655E-03
    5    5   -0.75058192E-01  0.41602291E-04
    6    5   -0.33822530E-04 -0.49317145E-04
    7    5   -0.10170775E+00 -0.32700939E-09
    8    5    0.33866388E-04  0.47604987E-03
    9    5   -0.78295859E-01 -0.90772376E-03
   10    5   -0.49884653E-03 -0.23535212E-03
   11    5   -0.64370976E-01  0.76540114E-05
   12    5    0.30172236E-03  0.81304592E-03
   13    5   -0.27947735E-01 -0.13021087E-03
   14    5    0.17225597E-05 -0.60815716E-04
   15    5   -0.26050646E-01 -0.13329684E-03
   16    5   -0.16150481E-03  0.12105823E-03
   17    5   -0.26054530E-01 -0.41446083E-03
   18    5    0.17212410E-03  0.27146136E-03
    1    6   -0.41771877E-03  0.64037973E-04
    2    6   -0.68856183E-01  0.20736986E-03
    3    6    0.20637928E-03  0.72309745E-03
    4    6   -0.46585256E-01  0.21981123E-03
    5    6   -0.33820514E-04 -0.49309826E-04
    6    6   -0.36238806E-01  0.25981227E-03
    7    6    0.33863481E-04 -0.47604937E-03
    8    6   -0.10176379E+00 -0.58571120E-09
    9    6    0.42205904E-03  0.31542459E-03
   10    6   -0.68852682E-01  0.67153449E-03
   11    6   -0.19935703E-03  0.31889077E-03
   12    6   -0.46593036E-01  0.75992055E-04
   13    6    0.28300648E-04  0.44634976E-03
   14    6   -0.18259546E-01  0.17838285E-03
   15    6    0.11684815E-03  0.96218019E-03
   16    6   -0.53419914E-02  0.11387919E-03
   17    6   -0.10137793E-03  0.73494904E-04
   18    6   -0.53420320E-02  0.13214468E-03
    1    7   -0.78294802E-01  0.15979221E-03
    2    7    0.50031555E-03 -0.21416504E-03
    3    7   -0.64370587E-01  0.23457760E-03
    4    7   -0.29693799E-03 -0.33984389E-03
    5    7   -0.10170780E+00 -0.31289737E-09
    6    7    0.33861500E-04 -0.47604301E-03
    7    7   -0.75058194E-01 -0.41601888E-04
    8    7   -0.33819759E-04  0.49309839E-04
    9    7   -0.78295818E-01  0.90772355E-03
   10    7   -0.49884747E-03  0.23535347E-03
   11    7   -0.64371000E-01 -0.76543018E-05
   12    7    0.30172988E-03 -0.81304764E-03
   13    7   -0.27947725E-01  0.13021093E-03
   14    7    0.17319186E-05  0.60818688E-04
   15    7    0.26050650E-01 -0.13329749E-03
   16    7    0.16150337E-03  0.12105419E-03
   17    7    0.26054534E-01 -0.41446139E-03
   18    7   -0.17212308E-03  0.27145582E-03
    1    8   -0.41772880E-03 -0.64040284E-04
    2    8   -0.68856142E-01 -0.20736921E-03
    3    8    0.20637629E-03 -0.72309628E-03
    4    8   -0.46585281E-01 -0.21981128E-03
    5    8    0.33867463E-04  0.47604158E-03
    6    8   -0.10176382E+00  0.45053478E-09
    7    8   -0.33820457E-04  0.49317060E-04
    8    8   -0.36238810E-01 -0.25981169E-03
    9    8    0.42204394E-03 -0.31542849E-03
   10    8   -0.68852644E-01 -0.67153446E-03
   11    8   -0.19934250E-03 -0.31888611E-03
   12    8   -0.46593061E-01 -0.75991630E-04
   13    8    0.28287892E-04 -0.44635258E-03
   14    8   -0.18259541E-01 -0.17838267E-03
   15    8   -0.11684891E-03  0.96218489E-03
   16    8    0.53419924E-02  0.11387847E-03
   17    8    0.10137886E-03  0.73502537E-04
   18    8    0.53420324E-02  0.13214419E-03
    1    9    0.72516654E-02 -0.33708364E-09
    2    9   -0.68727540E-03 -0.74415590E-08
    3    9   -0.60677617E-01  0.24218035E-09
    4    9   -0.20217675E-03  0.50193757E-08
    5    9   -0.64370999E-01  0.76536488E-05
    6    9   -0.19935321E-03  0.31889202E-03
    7    9   -0.64370975E-01 -0.76541843E-05
    8    9   -0.19935567E-03 -0.31888992E-03
    9    9    0.18713539E-02  0.36630654E-09
   10    9   -0.34699670E-03  0.51654733E-09
   11    9   -0.67179723E-01 -0.52030864E-09
   12    9   -0.30024620E-03 -0.34369001E-08
   13    9    0.27586865E-01  0.13424322E-09
   14    9   -0.18511629E-03 -0.35665609E-08
   15    9   -0.64232282E-08 -0.81875542E-03
   16    9   -0.12531360E-09 -0.73573229E-03
   17    9   -0.18584841E-08  0.22691876E-03
   18    9    0.80059760E-09 -0.48715767E-03
    1   10    0.38434502E-03 -0.20069672E-08
    2   10    0.28064525E-01 -0.12142458E-08
    3   10    0.21116680E-03  0.39619003E-08
    4   10   -0.75928454E-01  0.10137040E-08
    5   10    0.30171900E-03  0.81304799E-03
    6   10   -0.46593057E-01  0.75991490E-04
    7   10    0.30172878E-03 -0.81305056E-03
    8   10   -0.46593040E-01 -0.75991119E-04
    9   10    0.77070131E-04  0.29498439E-08
   10   10    0.99447766E-02  0.24350477E-09
   11   10   -0.30024309E-03 -0.13939686E-08
   12   10   -0.64334418E-01 -0.36807044E-09
   13   10    0.97864259E-03  0.15548986E-08
   14   10    0.34245932E-01  0.13710069E-09
   15   10   -0.23825729E-08 -0.13162797E-02
   16   10   -0.81454437E-08  0.28535118E-03
   17   10   -0.31543446E-09 -0.84042261E-03
   18   10   -0.18528043E-08 -0.46810816E-04
    1   11   -0.16107379E+00  0.58971167E-09
    2   11   -0.10325123E-03  0.13617355E-08
    3   11    0.72621974E-02 -0.20877242E-09
    4   11   -0.38573164E-03  0.18691550E-08
    5   11   -0.78295817E-01 -0.90772354E-03
    6   11    0.42205228E-03  0.31543216E-03
    7   11   -0.78295861E-01  0.90772398E-03
    8   11    0.42205368E-03 -0.31543336E-03
    9   11   -0.12190146E+00 -0.46861031E-09
   10   11    0.29237187E-03 -0.27758495E-09
   11   11    0.18713542E-02  0.51737936E-09
   12   11    0.77062896E-04  0.32577985E-08
   13   11   -0.34597491E-01 -0.19705658E-09
   14   11    0.14188418E-03  0.48141560E-08
   15   11    0.85237241E-08  0.12132818E-02
   16   11    0.86643437E-09 -0.97139188E-03
   17   11    0.67441625E-08  0.16206708E-02
   18   11   -0.13754776E-08 -0.90739692E-03
    1   12    0.12304015E-03  0.32512148E-08
    2   12   -0.21543687E+00  0.14181338E-08
    3   12    0.68238750E-03 -0.57043557E-08
    4   12    0.28069623E-01 -0.70066777E-09
    5   12   -0.49884242E-03 -0.23535024E-03
    6   12   -0.68852645E-01  0.67153556E-03
    7   12   -0.49884667E-03  0.23534904E-03
    8   12   -0.68852680E-01 -0.67153559E-03
    9   12    0.29236735E-03 -0.28164589E-08
   10   12   -0.15990229E+00  0.20070151E-09
   11   12   -0.34699959E-03  0.71919348E-09
   12   12    0.99447774E-02  0.26175984E-09
   13   12   -0.17874908E-02 -0.26291322E-08
   14   12   -0.59570019E-01  0.59315608E-10
   15   12    0.30310963E-08  0.67649088E-03
   16   12    0.76899007E-08 -0.83784692E-03
   17   12    0.26067579E-08 -0.69228050E-03
   18   12    0.51315057E-08 -0.12528282E-02
    1   13   -0.34598851E-01 -0.59562928E-10
    2   13    0.18236638E-02 -0.23315011E-08
    3   13    0.27586032E-01  0.17584609E-09
    4   13   -0.99470681E-03  0.33811206E-09
    5   13   -0.27947725E-01 -0.13021073E-03
    6   13    0.28300112E-04  0.44636058E-03
    7   13   -0.27947735E-01  0.13021099E-03
    8   13    0.28289970E-04 -0.44636004E-03
    9   13   -0.34597491E-01 -0.10688223E-09
   10   13   -0.17874831E-02 -0.36301629E-08
   11   13    0.27586864E-01  0.27662411E-09
   12   13    0.97863697E-03  0.15504141E-08
   13   13   -0.28636734E-01  0.11891133E-09
   14   13   -0.90473290E-05 -0.11168767E-08
   15   13    0.25755659E-08  0.54279570E-03
   16   13   -0.23430864E-08 -0.91423797E-03
   17   13    0.27660211E-08  0.86901604E-03
   18   13    0.86391462E-09 -0.52584425E-03
    1   14   -0.14935286E-03  0.23276884E-08
    2   14   -0.59566909E-01 -0.77553909E-09
    3   14    0.18887043E-03  0.87079892E-09
    4   14    0.34246703E-01  0.90223183E-09
    5   14    0.17241831E-05 -0.60810398E-04
    6   14   -0.18259540E-01  0.17838323E-03
    7   14    0.17341244E-05  0.60809353E-04
    8   14   -0.18259547E-01 -0.17838320E-03
    9   14    0.14188720E-03  0.22553642E-08
   10   14   -0.59570019E-01 -0.36737587E-10
   11   14   -0.18511853E-03 -0.21390391E-08
   12   14    0.34245933E-01 -0.55324145E-10
   13   14   -0.90459307E-05  0.10365696E-08
   14   14   -0.31179902E-01  0.75496498E-10
   15   14    0.26722353E-09 -0.11508997E-02
   16   14    0.22887345E-08 -0.36103198E-03
   17   14    0.21135769E-08 -0.50199024E-03
   18   14    0.22946716E-08 -0.80085854E-03
    1   15    0.62639250E-08 -0.95460217E-03
    2   15    0.18124239E-08  0.13881184E-02
    3   15   -0.16243864E-08 -0.62394270E-03
    4   15   -0.21651156E-08  0.22978424E-04
    5   15    0.26050651E-01  0.13329674E-03
    6   15   -0.11686445E-03 -0.96217737E-03
    7   15   -0.26050647E-01  0.13329728E-03
    8   15    0.11686440E-03 -0.96218712E-03
    9   15    0.82669183E-08 -0.12132818E-02
   10   15   -0.19215093E-09 -0.67648591E-03
   11   15   -0.64594949E-08  0.81875516E-03
   12   15    0.48040614E-09  0.13162743E-02
   13   15    0.27634534E-08 -0.54279574E-03
   14   15    0.12579775E-08  0.11508999E-02
   15   15    0.33806899E-01  0.65678130E-10
   16   15   -0.16733976E-03 -0.16744267E-08
   17   15    0.36030705E-01 -0.17504600E-09
   18   15   -0.42335692E-03  0.68399032E-09
    1   16   -0.27589908E-08  0.14445122E-02
    2   16    0.45166220E-08  0.56460843E-03
    3   16    0.42497518E-08  0.21739205E-03
    4   16   -0.17676850E-08  0.54701621E-03
    5   16    0.16150121E-03 -0.12106306E-03
    6   16    0.53419918E-02 -0.11387889E-03
    7   16   -0.16149911E-03 -0.12105310E-03
    8   16   -0.53419916E-02 -0.11387897E-03
    9   16   -0.19115429E-08  0.97138945E-03
   10   16    0.67946026E-08  0.83784678E-03
   11   16    0.68992489E-09  0.73573464E-03
   12   16   -0.73713492E-08 -0.28535095E-03
   13   16    0.26221021E-09  0.91423529E-03
   14   16    0.23456045E-08  0.36103171E-03
   15   16   -0.16733940E-03  0.15436131E-08
   16   16    0.23923983E-01 -0.86305407E-10
   17   16    0.45012892E-03  0.51496907E-09
   18   16    0.25365681E-01  0.16848259E-09
    1   17    0.83057756E-08 -0.53225633E-03
    2   17    0.25327375E-08  0.10963011E-02
    3   17   -0.63643340E-08 -0.96732366E-03
    4   17   -0.11639099E-08 -0.25458946E-03
    5   17    0.26054534E-01  0.41446040E-03
    6   17    0.10136881E-03 -0.73493564E-04
    7   17   -0.26054530E-01  0.41446184E-03
    8   17   -0.10137092E-03 -0.73506577E-04
    9   17    0.64704401E-08 -0.16206715E-02
   10   17   -0.96059414E-09  0.69228596E-03
   11   17   -0.17677084E-08 -0.22691798E-03
   12   17    0.52433758E-09  0.84041532E-03
   13   17    0.27898061E-08 -0.86901609E-03
   14   17   -0.26606819E-10  0.50198849E-03
   15   17    0.36030705E-01  0.72747263E-10
   16   17    0.45012658E-03 -0.12905224E-08
   17   17    0.33765358E-01  0.89062757E-10
   18   17    0.16018406E-03  0.17969897E-09
