      EF                  x                  y                  z                J0_x               J0_y               J0_z               J1_x               J1_y               J1_z               J2_x               J2_y               J2_z      
      12.000000           0.005085          -0.015490        1078.518181           0.000040          -0.000174          -2.037258          -0.000059           0.000307           9.562915           0.005104          -0.015622        1070.992523
      12.000200           0.005085          -0.015490        1078.518181           0.000040          -0.000174          -2.037258          -0.000059           0.000307           9.562915           0.005104          -0.015622        1070.992523
      12.000400           0.005085          -0.015490        1078.518181           0.000040          -0.000174          -2.037258          -0.000059           0.000307           9.562915           0.005104          -0.015622        1070.992523
      12.000600           0.005085          -0.015490        1078.518181           0.000040          -0.000174          -2.037258          -0.000059           0.000307           9.562915           0.005104          -0.015622        1070.992523
      12.000800           0.005085          -0.015490        1078.518181           0.000040          -0.000174          -2.037258          -0.000059           0.000307           9.562915           0.005104          -0.015622        1070.992523
      12.001000           0.004995          -0.015549        1078.873413           0.000040          -0.000174          -2.040042          -0.000061           0.000308           9.541845           0.005016          -0.015684        1071.371609
      12.001200           0.004995          -0.015549        1078.873413           0.000040          -0.000174          -2.040042          -0.000061           0.000308           9.541845           0.005016          -0.015684        1071.371609
      12.001400           0.004995          -0.015549        1078.873413           0.000040          -0.000174          -2.040042          -0.000061           0.000308           9.541845           0.005016          -0.015684        1071.371609
      12.001600           0.004995          -0.015549        1078.873413           0.000040          -0.000174          -2.040042          -0.000061           0.000308           9.541845           0.005016          -0.015684        1071.371609
      12.001800           0.004995          -0.015549        1078.873413           0.000040          -0.000174          -2.040042          -0.000061           0.000308           9.541845           0.005016          -0.015684        1071.371609
      12.002000           0.005009          -0.015522        1078.129159           0.000041          -0.000176          -2.042359          -0.000063           0.000308           9.545904           0.005031          -0.015655        1070.625615
      12.002200           0.005009          -0.015522        1078.129159           0.000041          -0.000176          -2.042359          -0.000063           0.000308           9.545904           0.005031          -0.015655        1070.625615
      12.002400           0.005009          -0.015522        1078.129159           0.000041          -0.000176          -2.042359          -0.000063           0.000308           9.545904           0.005031          -0.015655        1070.625615
      12.002600           0.005009          -0.015522        1078.129159           0.000041          -0.000176          -2.042359          -0.000063           0.000308           9.545904           0.005031          -0.015655        1070.625615
      12.002800           0.005009          -0.015522        1078.129159           0.000041          -0.000176          -2.042359          -0.000063           0.000308           9.545904           0.005031          -0.015655        1070.625615
      12.003000           0.005009          -0.015522        1078.129159           0.000041          -0.000176          -2.042359          -0.000063           0.000308           9.545904           0.005031          -0.015655        1070.625615
      12.003200           0.005009          -0.015522        1078.129159           0.000041          -0.000176          -2.042359          -0.000063           0.000308           9.545904           0.005031          -0.015655        1070.625615
      12.003400           0.005009          -0.015522        1078.129159           0.000041          -0.000176          -2.042359          -0.000063           0.000308           9.545904           0.005031          -0.015655        1070.625615
      12.003600           0.005035          -0.015462        1077.038224           0.000041          -0.000177          -2.043741          -0.000062           0.000307           9.504964           0.005055          -0.015592        1069.577001
      12.003800           0.005035          -0.015462        1077.038224           0.000041          -0.000177          -2.043741          -0.000062           0.000307           9.504964           0.005055          -0.015592        1069.577001
      12.004000           0.005035          -0.015462        1077.038224           0.000041          -0.000177          -2.043741          -0.000062           0.000307           9.504964           0.005055          -0.015592        1069.577001
      12.004200           0.005035          -0.015462        1077.038224           0.000041          -0.000177          -2.043741          -0.000062           0.000307           9.504964           0.005055          -0.015592        1069.577001
      12.004400           0.005035          -0.015462        1077.038224           0.000041          -0.000177          -2.043741          -0.000062           0.000307           9.504964           0.005055          -0.015592        1069.577001
      12.004600           0.004988          -0.015466        1076.850705           0.000041          -0.000177          -2.038765          -0.000061           0.000308           9.536894           0.005008          -0.015597        1069.352576
      12.004800           0.004988          -0.015466        1076.850705           0.000041          -0.000177          -2.038765          -0.000061           0.000308           9.536894           0.005008          -0.015597        1069.352576
      12.005000           0.004988          -0.015466        1076.850705           0.000041          -0.000177          -2.038765          -0.000061           0.000308           9.536894           0.005008          -0.015597        1069.352576
      12.005200           0.004988          -0.015466        1076.850705           0.000041          -0.000177          -2.038765          -0.000061           0.000308           9.536894           0.005008          -0.015597        1069.352576
      12.005400           0.004988          -0.015466        1076.850705           0.000041          -0.000177          -2.038765          -0.000061           0.000308           9.536894           0.005008          -0.015597        1069.352576
      12.005600           0.004988          -0.015466        1076.850705           0.000041          -0.000177          -2.038765          -0.000061           0.000308           9.536894           0.005008          -0.015597        1069.352576
      12.005800           0.004988          -0.015466        1076.850705           0.000041          -0.000177          -2.038765          -0.000061           0.000308           9.536894           0.005008          -0.015597        1069.352576
      12.006000           0.004988          -0.015466        1076.850705           0.000041          -0.000177          -2.038765          -0.000061           0.000308           9.536894           0.005008          -0.015597        1069.352576
      12.006200           0.004988          -0.015466        1076.850705           0.000041          -0.000177          -2.038765          -0.000061           0.000308           9.536894           0.005008          -0.015597        1069.352576
      12.006400           0.004988          -0.015466        1076.850705           0.000041          -0.000177          -2.038765          -0.000061           0.000308           9.536894           0.005008          -0.015597        1069.352576
      12.006600           0.004988          -0.015466        1076.850705           0.000041          -0.000177          -2.038765          -0.000061           0.000308           9.536894           0.005008          -0.015597        1069.352576
